the-house-of-the-devil	Horror,Short
resident-evil-afterlife	Action,Adventure,Horror
the-damned-united	Biography,Drama,Sport
iron-man-2	Action,Adventure,Sci-Fi
fish-tank	Drama
my-son-my-son-what-have-ye-done	Drama,Thriller
greenberg	Comedy,Drama,Romance
sidewalls	Comedy,Drama
mystery-team	Comedy,Crime,Mystery
we-need-to-talk-about-kevin	Drama,Mystery,Thriller
looking-for-eric	Comedy,Drama,Fantasy
bellflower	Action,Drama,Romance
bunny-and-the-bull	Comedy,Drama
the-cabin-in-the-woods	Horror
nowhere-boy	Biography,Drama,Music
the-social-network	Biography,Drama
behind-the-candelabra	Biography,Drama,Music
short-term-12	Drama,Short
iron-man-3	Action,Adventure,Sci-Fi
magic-mike	Reality-TV
the-turin-horse	Drama
gangster-squad	Action,Crime,Drama
one-hundred-mornings	Drama
humpday	Comedy,Drama,Romance
the-revenant	Comedy,Fantasy,Horror
the-dark-knight-rises	Action,Thriller
another-earth	Documentary,History
van-diemens-land	Biography,Drama,History
beasts-of-no-nation	Drama,War
american-honey	Drama,Short
cloud-atlas	Action,Drama,Mystery
apostle	Action,Drama,Sci-Fi
inception	Action,Adventure,Sci-Fi
dogtooth	Drama,Thriller
paradise-love	Drama
star-trek-into-darkness	Action,Adventure,Sci-Fi
the-hangover-part-ii	Comedy
i-killed-my-mother-jai-tue-ma-mere	Drama,Romance
amer	Horror,Thriller
martha-marcy-may-marlene	Drama,Mystery,Thriller
the-conjuring	Horror,Mystery,Thriller
the-grandmaster	Action,Biography,Drama
macgruber	Action,Comedy,Romance
cedar-rapids	Comedy
tamara-drewe	Comedy,Drama,Romance
trash-humpers	Comedy,Drama,Horror
down-terrace	Crime,Drama
the-kings-speech	Biography,Drama,History
meeks-cutoff	Drama,Western
byzantium	Drama,Fantasy,Horror
almayers-folly	Drama
beyond-the-black-rainbow	Horror,Sci-Fi,Thriller
bullhead	Drama,Short
little-birds	Documentary
essential-killing	Thriller,War
a-dangerous-method	Biography,Drama,Romance
the-skeleton-twins	Comedy,Drama,Romance
this-movie-is-broken	Drama,Music,Romance
i-saw-the-devil	Action,Crime,Drama
take-this-waltz	Comedy,Drama
to-the-wonder	Drama,Romance
pawn-sacrifice	Biography,Drama,Sport
heartbeats-les-amours-imaginaires	Drama,Romance
only-god-forgives	Action,Crime,Drama
margin-call	Drama,Thriller
a-horrible-way-to-die	Drama,Horror,Thriller
jupiter-ascending	Action,Adventure,Sci-Fi
jauja	Drama,Short
hobo-with-a-shotgun	Action,Comedy,Horror
laurence-anyways	Drama,Romance
the-perks-of-being-a-wallflower	Drama,Romance
pacific-rim	Action,Adventure,Sci-Fi
take-shelter	Drama,Horror,Thriller
snowtown	Biography,Crime,Drama
attenberg	Drama
i-melt-with-you	Drama
casa-de-mi-padre	Comedy,Western
the-last-days-on-mars	Adventure,Horror,Sci-Fi
message-from-the-king	Action,Thriller
triple-9	Crime,Thriller
only-lovers-left-alive	Comedy,Drama,Fantasy
killer-joe	Crime,Drama,Thriller
snow-white-and-the-huntsman	Action,Adventure,Drama
your-sisters-sister	Comedy,Drama
moonrise-kingdom	Comedy,Drama,Romance
sound-of-my-voice	Drama,Mystery,Sci-Fi
post-tenebras-lux	Drama
the-colour-of-money	Game-Show
killing-them-softly	Crime,Drama,Thriller
kill-list	Crime,Drama,Horror
simon-killer	Drama,Thriller
zero-dark-thirty	Drama,Thriller
inherent-vice	Comedy,Crime,Drama
the-place-beyond-the-pines	Crime,Drama,Thriller
steve-jobs	Documentary
chappie	Action,Crime,Drama
berberian-sound-studio	Drama,Horror,Thriller
ruby-sparks	Comedy,Drama,Fantasy
the-bride-of-frankenstein	Comedy,Short
captain-america-the-winter-soldier	Action,Adventure,Sci-Fi
django-unchained	Drama,Western
resident-evil-retribution	Action,Horror,Sci-Fi
blade-runner-2049	Action,Drama,Mystery
alps	Drama
the-legend-of-kaspar-hauser	Drama,Mystery
the-bling-ring	Drama
the-abcs-of-death	Comedy,Horror
borgman	Drama,Horror,Mystery
american-mary	Drama,Horror
kiss-of-the-damned	Drama,Horror,Romance
compliance	Biography,Crime,Drama
the-two-faces-of-january	Romance,Thriller
thor-the-dark-world	Action,Adventure,Fantasy
the-sea-of-trees	Drama
computer-chess	Comedy
return-of-the-jedi	Comedy
sightseers	Adventure,Comedy,Crime
12-years-a-slave	Biography,Drama,History
laggies	Comedy,Drama,Romance
inside-llewyn-davis	Comedy,Drama,Music
a-glimpse-inside-the-mind-of-charles-swan-iii	Comedy
rust-and-bone	Drama,Romance
the-endless	Crime,Drama,Short
song-to-song	Drama,Music,Romance
the-lobster	Animation
populaire	Comedy,Romance,Sport
holy-motors	Drama,Fantasy
upstream-color	Drama,Sci-Fi
what-richard-did	Drama
new-nightmare	Documentary
antiviral	Horror,Sci-Fi,Thriller
knight-of-cups	Drama,Romance
spring-breakers	Crime,Drama
here-comes-the-devil	Horror,Thriller
ginger-rosa	Drama
fleshblood	Crime,Short,Thriller
beasts-of-the-southern-wild	Adventure,Drama,Fantasy
the-devils-doorway	Adventure,Animation,Family
renoir	Biography,Drama,History
maps-to-the-stars	Comedy,Drama
prince-avalanche	Comedy,Drama
wildlike	Adventure,Drama,Thriller
vanishing-waves	Romance,Sci-Fi,Thriller
interview-with-the-vampire	Comedy
curse-of-chucky	Horror,Thriller
white-bird-in-a-blizzard	Drama,Mystery,Thriller
im-so-excited	Comedy
magic-mike-xxl	Comedy,Drama,Music
museum-hours	Drama
the-grand-budapest-hotel	Adventure,Comedy,Crime
the-canyons	Drama,Thriller
wonderstruck	Drama,Short
the-babadook	Drama,Horror
hard-to-be-a-god	Drama,Sci-Fi
the-zero-theorem	Comedy,Drama,Fantasy
fruitvale-station	Biography,Drama,Romance
frances-ha	Comedy,Drama,Romance
mississippi-grind	Comedy,Drama
the-great-beauty	Drama
blue-ruin	Crime,Drama,Thriller
we-are-the-best	Drama,Music
paradise-faith	Drama
paradise-hope	Drama
a-field-in-england	Drama,History,Horror
aint-them-bodies-saints	Crime,Drama,Romance
a-quiet-passion	Biography,Drama
predestination	Action,Drama,Mystery
the-homesman	Drama,Western
anomalisa	Animation,Comedy,Drama
dom-hemingway	Comedy,Crime,Drama
atomic-blonde	Action,Mystery,Thriller
tom-at-the-farm	Drama,Mystery,Thriller
clouds-of-sils-maria	Drama
mr-turner	Biography,Drama,History
palo-alto	Drama
nocturama	Drama,Short
american-animals	Family
lasting-nieulotne	Drama,Romance
crimson-peak	Drama,Fantasy,Horror
the-duke-of-burgundy	Drama,Mystery,Romance
resident-evil-the-final-chapter	Action,Horror,Sci-Fi
catch-me-daddy	Drama,Thriller
locke	Drama
blackhat	Action,Crime,Thriller
the-old-man-the-gun	Biography,Comedy,Crime
stranger-by-the-lake	Drama,Romance,Thriller
lords-of-salem	Talk-Show
wish-i-was-here	Comedy,Drama
mistress-america	Comedy,Drama
i-origins	Drama,Romance,Sci-Fi
gods-pocket	Crime,Drama
a-most-violent-year	Action,Crime,Drama
the-face-of-an-angel	Crime,Drama
the-purge-anarchy	Action,Horror,Sci-Fi
da-sweet-blood-of-jesus	Comedy,Romance,Thriller
jimmys-hall	Biography,Drama,History
cam	Mystery,Short
the-diary-of-a-teenage-girl	Comedy,Drama,Romance
slow-west	Action,Adventure,Western
black-47	Action,Drama
kumiko-the-treasure-hunter	Drama
tale-of-tales	Drama,Fantasy,Horror
cult-of-chucky	Comedy,Fantasy,Horror
the-autopsy-of-jane-doe	Horror,Mystery,Thriller
a-monster-calls	Animation,Drama,Fantasy
the-hateful-eight	Crime,Drama,Mystery
thor-ragnarok	Action,Adventure,Comedy
the-disaster-artist	Biography,Comedy,Drama
meadowland	Drama
45-years	Drama,Romance
blue-jay	Action,Drama,Thriller
fall-of-the-house-of-usher	Drama
turbo-kid	Action,Adventure,Comedy
experimenter	Biography,Drama,History
geralds-game	Drama,Horror,Thriller
the-nice-guys	Action,Comedy,Crime
cop-car	Crime,Thriller
baby-driver	Action,Crime,Drama
dont-breathe	Documentary
adam-greens-aladdin	Adventure,Comedy,Drama
queen-of-earth	Drama,Mystery,Thriller
swiss-army-man	Comedy,Drama,Fantasy
the-shallows	Drama,Horror,Thriller
cries-and-whispers	Comedy,Drama,Mystery
the-purge-election-year	Action,Horror,Sci-Fi
wiener-dog	Comedy,Drama
free-fire	Action,Comedy,Crime
a-date-for-mad-mary	Comedy,Drama,Romance
kubo-and-the-two-strings	Action,Adventure,Animation
i-am-not-a-serial-killer	Drama,Horror,Thriller
the-bad-batch	Drama,Horror,Romance
the-greasy-strangler	Comedy,Horror
beach-rats	Reality-TV
officer-downe	Action,Comedy,Sci-Fi
chi-raq	Comedy,Crime,Drama
can-you-ever-forgive-me	Biography,Comedy,Crime
hunt-for-the-wilderpeople	Adventure,Comedy,Drama
terminator-2-judgement-day	Comedy
mindhorn	Comedy
good-time	Crime,Drama,Thriller
the-whispering-star	Sci-Fi
hold-the-dark	Drama,Horror,Mystery
i-am-the-pretty-thing-that-lives-in-the-house	Horror,Mystery,Thriller
super-dark-times	Crime,Drama,Horror
kate-plays-christine	Biography,Documentary,Drama
lean-on-pete	Adventure,Drama
the-big-sick	Comedy,Drama,Romance
mid90s	Comedy,Drama
the-florida-project	Drama
back-to-the-future-ii	Comedy
brawl-in-cell-block-99	Action,Crime,Drama
sorry-to-bother-you	Comedy,Fantasy,Sci-Fi
the-killing-of-a-sacred-deer	Drama,Mystery,Thriller
call-me-by-your-name	Drama,Romance
hereditary	Drama,Short
you-were-never-really-here	Crime,Drama,Mystery
phantom-thread	Drama,Romance
brigsby-bear	Comedy,Drama
let-the-corpses-tan	Thriller
ghostbusters-2	Comedy
13th	Crime,Documentary,News
ingrid-goes-west	Comedy,Drama
first-reformed	Drama,Mystery,Thriller
madelines-madeline	Drama,Mystery,Thriller
assassination-nation	Action,Comedy,Crime
the-miseducation-of-cameron-post	Drama
the-ballad-of-buster-scruggs	Comedy,Drama,Musical
the-corpse-bride	Horror
bad-times-at-the-el-royale	Crime,Drama,Mystery
eighth-grade	Comedy,Drama
satans-slaves	Drama,Horror,Mystery
if-beale-street-could-talk	Drama,Romance
unsane	Drama,Horror,Mystery
hearts-beat-loud	Comedy,Drama,Music
blackkklansman	Biography,Crime,Drama
final-girls	Horror
the-perfection	Drama,Horror,Thriller
relaxer	Comedy,Fantasy
high-flying-bird	Drama,Sport
guava-island	Comedy,Drama,Music
fellini-satyricon	Comedy
